800	561
800	594
800	627
800	638
1100	638
1100	748
1100	814
1100	847
1100	935
1100	968
1400	869
1400	913
1400	924
1400	979
1400	1012
1400	1045
1400	1078
1400	1122
1400	1155
1400	1188
1400	1210
1700	1023
1700	1100
1700	1144
1700	1155
1700	1210
1700	1243
1700	1254
1700	1298
1700	1331
1700	1364
1700	1408
1700	1430
1700	1485
2000	1254
2000	1309
2000	1364
2000	1397
2000	1408
2000	1474
2000	1496
2000	1496
2000	1562
2000	1573
2000	1606
2000	1650
2000	1716
2300	1408
2300	1452
2300	1551
2300	1595
2300	1650
2300	1672
2300	1683
2300	1716
2300	1749
2300	1771
2300	1804
2300	1870
2300	1947
2300	2002
2600	1650
2600	1738
2600	1749
2600	1804
2600	1848
2600	1881
2600	1925
2600	1969
2600	2013
2600	2035
2600	2101
2600	2112
2600	2200
2900	1969
2900	1991
2900	2046
2900	2068
2900	2101
2900	2189
2900	2233
2900	2244
2900	2299
2900	2310
3200	2090
3200	2134
3200	2178
3200	2266
3200	2354
3200	2486
3200	2552
3200	2585
3200	2640
3500	2299
3500	2321
3500	2530
3500	2629
3500	2860
3500	2871
